"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)
	"Franklin County, FL"	"12037"	"1983"	"1983"	"May"	"5"	79.78	66.84
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Jun"	"6"	84.10	74.88
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Jul"	"7"	87.30	78.48
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Aug"	"8"	87.64	79.50
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Sep"	"9"	83.26	72.36
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Oct"	"10"	78.23	66.25
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Nov"	"11"	69.34	55.54
	"Franklin County, FL"	"12037"	"1983"	"1983"	"Dec"	"12"	60.96	46.40
"Total"	"Franklin County, FL"	"12037"	"1983"	"1983"			74.10	61.95
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Jan"	"1"	58.90	44.44
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Feb"	"2"	63.10	48.23
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Mar"	"3"	67.41	51.15
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Apr"	"4"	72.16	57.96
	"Franklin County, FL"	"12037"	"1984"	"1984"	"May"	"5"	79.79	66.96
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Jun"	"6"	84.66	73.41
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Jul"	"7"	85.00	76.68
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Aug"	"8"	86.21	77.32
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Sep"	"9"	83.93	72.11
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Oct"	"10"	80.37	67.80
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Nov"	"11"	69.55	53.27
	"Franklin County, FL"	"12037"	"1984"	"1984"	"Dec"	"12"	71.79	57.12
"Total"	"Franklin County, FL"	"12037"	"1984"	"1984"			75.28	62.26
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Jan"	"1"	58.26	41.40
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Feb"	"2"	63.96	49.38
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Mar"	"3"	71.76	56.79
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Apr"	"4"	75.30	60.19
	"Franklin County, FL"	"12037"	"1985"	"1985"	"May"	"5"	82.82	68.73
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Jun"	"6"	87.75	75.67
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Jul"	"7"	86.32	77.61
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Aug"	"8"	85.91	78.58
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Sep"	"9"	83.10	73.36
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Oct"	"10"	81.44	70.63
	"Franklin County, FL"	"12037"	"1985"	"1985"	"Nov"	"11"	75.82	64.14
